<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210715,093000,1826.315,1834.195,1825.98,1832.35,6329
20210715,133000,1832.35,1833.086,1822.57,1823.465,9554
20210715,173000,1823.465,1827.42,1820.375,1827.095,11184
20210715,213000,1827.095,1830.336,1826.185,1829.53,3359
20210716,013000,1829.53,1832.066,1829.175,1829.43,1956
20210716,053000,1829.43,1831.65,1825.81,1826.505,4066
20210716,093000,1826.505,1827.315,1821.01,1822.895,5588
20210716,133000,1822.895,1825.534,1815.54,1822.88,9968
20210716,173000,1822.88,1826.785,1809.7,1815.356,19297
20210716,213000,1815.356,1816.57,1809.03,1812.255,4497
20210719,013000,1812.255,1817.42,1810.52,1814.92,2389
20210719,053000,1814.92,1816.28,1811.225,1812.41,5323
20210719,093000,1812.41,1813.366,1802.655,1804.42,8681
20210719,133000,1804.42,1810.29,1795.12,1809.13,13118
20210719,173000,1809.13,1815.655,1804.94,1808.876,17106
20210719,213000,1808.876,1813.415,1806.97,1812.845,3335
20210720,013000,1812.845,1814.25,1810.825,1813.47,1315
20210720,053000,1813.47,1819.175,1813.264,1817.85,5483
20210720,093000,1817.85,1818.166,1811.73,1813.186,5946
20210720,133000,1813.186,1824.08,1812.66,1822.895,10572
20210720,173000,1822.895,1825.006,1805.13,1812.056,18969
20210720,213000,1812.056,1812.056,1808.315,1810.345,2904
20210721,013000,1810.345,1811.09,1808.175,1808.725,1329
20210721,053000,1808.725,1809.55,1805.26,1808.095,4368
20210721,093000,1808.095,1813.795,1803.37,1807.485,8657
20210721,133000,1807.485,1809.025,1794.666,1799.04,10859
20210721,173000,1799.04,1805.83,1796.98,1803.1,14201
20210721,213000,1803.1,1805.44,1801.946,1803.505,2569
20210722,013000,1803.505,1804.035,1801.71,1802.39,847
20210722,053000,1802.39,1803.155,1797.355,1799.085,3437
20210722,093000,1799.085,1803.48,1792.835,1797.19,6716
20210722,133000,1797.19,1806.3,1794.14,1802.94,12309
20210722,173000,1802.94,1808.116,1796.015,1805.195,13871
20210722,213000,1805.195,1807.89,1804.43,1806.66,2354
20210723,013000,1806.66,1808.605,1806.66,1807.075,858
20210723,053000,1807.075,1808.59,1802.375,1803.425,3896
20210723,093000,1803.425,1810.37,1801.36,1804.4,6781
20210723,133000,1804.4,1805.395,1789.69,1802.955,10944
20210723,173000,1802.955,1804.54,1794.985,1802.125,11101
20210723,213000,1802.125,1804.695,1800.805,1801.975,2333
20210726,013000,1801.975,1802.805,1798.57,1799.4,1899
20210726,053000,1799.4,1807.405,1798.635,1806.5,4853
20210726,093000,1806.5,1811.605,1804.655,1808.615,8456
20210726,133000,1808.615,1809.99,1801.23,1803.325,7083
20210726,173000,1803.325,1804.67,1796.74,1799.49,12746
20210726,213000,1799.49,1800.035,1796.445,1797.575,2380
20210727,013000,1797.575,1798.585,1796.62,1798.585,1196
20210727,053000,1798.585,1799.915,1794.81,1798.035,4239
20210727,093000,1798.035,1801.29,1793.695,1796.275,8244
20210727,133000,1796.275,1805.29,1795.17,1802.91,7195
20210727,173000,1802.91,1805,1794.66,1800.186,15224
20210727,213000,1800.186,1802.23,1798.67,1798.995,2515
20210728,013000,1798.995,1800.81,1798.225,1798.846,1649
20210728,053000,1798.846,1807.49,1798.145,1804.965,4811
20210728,093000,1804.965,1807.096,1799.38,1801.09,5852
20210728,133000,1801.09,1801.85,1795.396,1799,6480
20210728,173000,1799,1802.62,1794.59,1802.385,8847
20210728,213000,1802.385,1809.86,1792.795,1806.895,21678
20210729,013000,1806.895,1810.386,1806.895,1809.58,1458
20210729,053000,1809.58,1817.55,1809.58,1815.785,6430
20210729,093000,1815.785,1822.196,1815.235,1821.62,7771
20210729,133000,1821.62,1828.16,1819.594,1825.84,11222
20210729,173000,1825.84,1832.73,1823.42,1831.235,11509
20210729,213000,1831.235,1831.78,1827.885,1827.975,2800
