<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180910,043000,344505,397096,344477,391818,2368
20180917,043000,392448,422713,389494,418982,1018
20180924,033000,418751,557618,418751,481428,2252
20181001,033000,478734,484730,338266,378625,516
20181008,033000,378394,444351,369399,389352,491
20181015,033000,388895,427685,385351,407890,377
20181022,033000,408624,424158,401642,422895,196
20181029,033000,424100,453007,413915,436982,530
20181105,033000,438616,442541,408836,409641,451
20181112,033000,401680,408672,335887,387829,871
20181119,033000,390127,390127,360120,369592,682
20181126,033000,364282,367745,318530,355750,842
20181203,033000,356433,356440,333579,336141,1003
20181210,033000,332447,334986,298740,304743,1057
20181217,033000,307052,310284,300818,308437,680
20181224,033000,308668,367077,308668,339373,1195
20181231,033000,340296,341912,328060,338911,663
20190107,033000,339142,366615,338449,349762,672
20190114,033000,346530,370700,344914,367538,715
20190121,033000,368000,375400,363600,371925,1174
20190128,033000,372100,380236,353000,362459,1448
20190204,033000,362400,376311,362400,374400,869
20190211,033000,373541,399860,369800,399398,1304
20190218,033000,398200,454500,398200,437491,2495
20190225,033000,437500,445500,404015,406300,1580
20190304,033000,405100,429600,397782,413900,1253
20190311,033000,413700,424331,407200,414866,1221
20190318,033000,415300,430334,415300,425486,159
20190325,043000,425947,435182,425947,430500,237
20190401,043000,430300,441646,427564,440900,574
20190408,043000,441200,480900,424300,439500,2026
20190415,043000,441415,444400,422900,426200,1219
20190422,043000,431719,449900,429800,448300,1269
20190429,043000,446725,469350,443000,457300,1217
20190506,043000,456900,473700,450400,457300,1784
20190513,043000,458500,464500,431000,435800,1542
20190520,043000,434028,440500,409325,432600,1745
20190527,043000,430800,431000,407700,411600,1460
20190603,043000,411800,421300,406300,410200,987
20190610,043000,410000,438200,407200,434000,2105
20190617,043000,432600,439100,422500,437000,1893
20190624,043000,440000,441200,427500,428200,995
20190701,043000,425200,437700,422200,430800,1005
20190708,043000,430300,431700,415300,417800,785
20190715,043000,418800,418800,370500,403784,1508
20190722,043000,405400,424101,396400,407478,1234
20190729,043000,408100,412557,402100,410249,1027
20190805,043000,411838,421764,408837,411607,1318
20190812,043000,410453,421534,409760,417840,1042
20190819,043000,417840,419918,409991,412761,826
20190826,043000,414839,415762,400295,411145,1360
20190902,043000,408837,416455,408144,414377,494
20190909,043000,412761,413685,401680,405605,550
20190916,043000,407452,412530,404912,407913,715
20190923,033000,406528,410453,405836,409529,560
20190930,033000,409760,410453,404451,408144,669
20191007,033000,407913,409298,404681,405374,438
20191014,033000,405143,406297,403527,403989,481
20191021,033000,404104,404104,392908,400064,867
20191028,033000,400757,412069,396602,407683,803
20191104,033000,407452,409760,400180,406990,1065
20191111,033000,408144,431800,405028,430500,1006
20191118,033000,428000,428000,416917,425227,152
20191125,033000,424996,445542,424304,444157,1604
20191202,033000,443003,470474,439078,469320,2043
20191209,033000,469781,488480,435385,449236,2440
20191216,033000,448312,470012,442772,461702,1677
20191223,033000,462394,472782,457085,467703,2037
20191230,033000,467934,509719,466318,502101,1407
20200106,033000,512489,517106,474398,491250,957
20200113,033000,489403,500715,482016,497252,2440
20200120,033000,497714,506486,491019,506024,2711
20200127,033000,506717,515490,502100,509718,2895
20200203,033000,508102,518490,502562,516182,2443
20200210,033000,515489,534650,515489,531880,3298
20200217,033000,532111,622143,528879,601366,2984
20200224,033000,603675,639457,554965,601366,1772
20200302,033000,604829,613371,585207,613140,1949
20200309,033000,612216,615679,561891,605753,4272
20200316,033000,607137,621681,587515,606906,2683
20200323,043000,607137,638533,605983,635993,3247
20200330,043000,631838,660464,624913,654923,2694
20200406,043000,654462,659771,629068,644766,3972
20200413,043000,644535,646382,589131,610600,4567
20200420,043000,611754,658386,611754,635070,4380
20200427,043000,635993,648690,628145,642457,5127
20200504,043000,643612,669929,641534,666350,4524
20200511,043000,666697,736414,666004,735259,4851
20200518,043000,738260,756036,712867,721639,3713
20200525,043000,727641,739645,693244,727180,4795
20200601,043000,730642,736876,704556,709173,3405
20200608,043000,710097,747264,706172,745417,5067
20200615,043000,746109,814441,740569,804745,5187
20200622,043000,807746,866152,805207,856225,5040
20200629,043000,856687,947642,848607,930097,4982
20200706,043000,930328,980654,913014,979730,4842
20200713,043000,984117,1115240,983886,1061910,4615
20200720,043000,1026130,1104620,914400,1027520,2989
20200727,043000,1085000,1105310,1036060,1075530,2682
20200803,043000,1076460,1136940,1017820,1018740,2672
20200810,043000,1022670,1073690,993120,1040440,3255
20200817,043000,1060990,1085230,1025440,1043680,3730
20200824,043000,1046910,1075070,1041600,1073690,1095
20200831,043000,1094230,1120780,1078760,1096770,1381
20200907,043000,1095840,1209420,1095840,1206190,1669
20200914,043000,1208500,1257670,1172950,1235970,1516
20200921,033000,1251210,1262520,1212420,1260440,1372
20200928,033000,1265060,1356940,1260670,1306380,1889
20201005,033000,1330850,1469360,1328540,1434040,951
20201012,033000,1447890,1509070,1410030,1433580,1367
20201019,033000,1440500,1463590,1175030,1275450,902
20201026,033000,1274750,1301530,1168100,1231580,951
20201102,033000,1270140,1408190,1110390,1187720,1936
20201109,033000,1190030,1284680,1154250,1154250,600
20201116,033000,1165790,1168100,1165790,1168100,2
20201130,033000,1145020,1145020,1109230,1128860,48
20201207,033000,1120780,1185410,1116190,1128890,733
20201214,033000,1127730,1141580,1116190,1136970,699
20201221,033000,1147360,1154280,1136270,1149660,240
20201228,033000,1148510,1158200,1143870,1158200,96
20210104,033000,1165800,1213150,1094230,1109240,319
20210111,033000,1113860,1117340,983425,983425,749
20210118,033000,988042,1069990,910707,1054530,926
20210125,033000,1063760,1115700,1030750,1106930,1171
20210201,033000,1100000,1110390,1066070,1102310,1367
20210208,033000,1113860,1183110,1104620,1150790,1296
20210215,033000,1143870,1157950,1057300,1082690,1099
20210222,033000,1088000,1106720,1065630,1075330,2154
20210301,033000,1075790,1086870,997275,1028210,3552
20210308,033000,1029130,1055470,1006510,1044860,2880
20210315,033000,1045780,1105800,1038830,1104650,1390
20210322,043000,1098850,1099310,1075760,1096570,1710
20210329,043000,1095870,1108550,1048780,1060090,1469
20210405,043000,1064220,1072100,1031900,1031930,2537
20210412,043000,1040680,1053170,1030540,1038390,2547
20210419,043000,1039080,1041390,1001200,1005840,2493
20210426,043000,1004920,1006530,929175,940508,2558
20210503,043000,949973,959186,894316,939123,2793
20210510,043000,951560,1055470,946950,1018050,2391
20210517,043000,1021520,1043010,997738,1028670,2322
20210524,043000,1034210,1117320,1022670,1099770,1824
20210531,043000,1085000,1103930,1069760,1089380,1214
20210607,043000,1084540,1091690,1057760,1079690,1833
20210614,043000,1073690,1082000,1012740,1028670,1997
20210621,043000,1027750,1058910,1025900,1058910,1900
20210628,043000,1058940,1075300,1058940,1060070,2332
20210705,043000,1060300,1068380,1054990,1063990,1426
20210712,043000,1062380,1063070,1045060,1049680,1763
20210719,043000,1048060,1066530,1044830,1060990,866
20210726,043000,1063760,1125170,1063760,1098160,2525
20210802,043000,1101160,1103700,1070460,1086620,2697
20210809,043000,1078070,1141560,1078070,1138560,2730
20210816,043000,1138560,1164180,1138100,1154720,1093
20210823,043000,1153100,1203890,1150330,1181260,3097
20210830,043000,1171570,1175720,1152180,1168570,4623
20210906,043000,1168110,1182650,1152640,1154480,7181
20210913,043000,1145020,1167640,1126780,1131860,7791
20210920,043000,1130020,1160030,1127010,1146870,6273
20210927,033000,1144790,1169950,1143870,1160490,6661
20211004,033000,1161640,1168800,1137400,1142020,8775
20211011,033000,1142480,1150330,1119160,1132780,9955
20211018,033000,1130020,1167640,1129320,1164180,14019
20211025,033000,1166950,1176180,1160030,1169950,15071
20211101,033000,1171570,1205040,1164640,1204120,15481
20211108,033000,1204120,1283530,1201810,1272680,17128
20211115,033000,1269680,1270140,1226280,1245210,15428
20211122,033000,1244980,1271530,1230670,1270600,18809
20211129,033000,1269910,1318390,1249360,1311230,20217
20211206,033000,1315390,1328550,1282380,1287460,22710
20211213,033000,1290000,1308460,1268990,1277990,19691
20211220,033000,1278680,1313540,1278680,1297380,13724
20211227,033000,1295540,1311000,1282840,1289760,12821
20220103,033000,1288150,1289760,1168110,1181960,19121
20220110,033000,1181960,1234360,1173180,1199960,20949
20220117,033000,1197420,1239210,1169720,1232050,20278
20220124,033000,1234360,1256520,1217740,1227200,22738
20220131,033000,1226510,1228820,1163030,1184030,17471
20220207,033000,1181960,1221200,1152410,1213120,22305
20220214,033000,1217740,1218890,1168800,1179190,24201
20220221,033000,1179650,1232510,1169260,1208500,27854
20220228,033000,1211970,1214970,1190040,1197660,24252
20220307,033000,1199270,1254910,1199270,1236670,21948
20220314,033000,1233900,1234820,1208970,1226740,8613
20220321,033000,1236210,1246360,1234590,1243360,210
20220328,043000,1244980,1259980,1243820,1250290,2919
20220404,043000,1249600,1323240,1249130,1319780,21767
20220411,043000,1317240,1333400,1298540,1315620,25097
20220418,043000,1318620,1327390,1289070,1292070,20557
20220425,043000,1289070,1301770,1272220,1296460,25818
20220502,043000,1292760,1318620,1289070,1314700,17905
20220509,043000,1313540,1404270,1308230,1387410,48424
20220516,043000,1386950,1401260,1345860,1380720,36978
20220523,043000,1380490,1410730,1370560,1407730,34953
20220530,043000,1410500,1449740,1405650,1432430,22914
20220606,043000,1432430,1516690,1422270,1509530,8508
20220613,043000,1499380,1504220,1404500,1430120,10298
20220620,043000,1442590,1458050,1392950,1393880,12497
20220627,043000,1381180,1459440,1339170,1421580,13582
20220704,043000,1396880,1425500,1348630,1365250,4765
20220711,043000,1390880,1409340,1352090,1365940,6404
20220718,043000,1359710,1379560,1335470,1347250,5321
20220725,043000,1343550,1380490,1340780,1364790,5865
20220801,043000,1362020,1382800,1344240,1368720,7138
20220808,043000,1389720,1389720,1315390,1332010,7293
20220815,043000,1315850,1315850,1186570,1224200,9433
20220822,043000,1255830,1296690,1229280,1255830,2945
20220829,043000,1252370,1283530,1251210,1279380,2661
20220905,043000,1273600,1319080,1266680,1317240,3599
20220912,043000,1311460,1348400,1306150,1310770,8080
20220919,043000,1308690,1336630,1301080,1308920,1802
20220926,033000,1316310,1383950,1296230,1372180,6269
20221003,033000,1383950,1398960,1348630,1352090,2709
20221010,033000,1349320,1371250,1334780,1354860,3806
20221017,033000,1355560,1358330,1330390,1341240,4257
20221024,033000,1340780,1368950,1336630,1356480,3693
20221031,033000,1360870,1484600,1355790,1480220,6914
20221107,033000,1470520,1498920,1449740,1487370,4521
20221114,033000,1489220,1526620,1483450,1491530,2876
20221121,033000,1494990,1539540,1487830,1532620,2121
20221128,033000,1543240,1604640,1523620,1597490,6522
20221205,033000,1606720,1648040,1563780,1643660,13082
20221212,033000,1642270,1771780,1641350,1738770,14838
20221219,033000,1736000,1853730,1712450,1841270,13916
20221226,033000,1856040,1991780,1762550,1857200,13637
20230102,033000,1860660,1920450,1768320,1895290,15838
20230109,033000,1895290,1939380,1854890,1923450,12185
20230116,033000,1922990,2139990,1919060,2084580,16589
20230123,033000,2084580,2166540,1998020,2139990,14868
20230130,033000,2142300,2188930,2038880,2085510,15189
20230206,033000,2085740,2156150,2050650,2144600,17544
20230213,033000,2131680,2294660,2109980,2275040,19700
20230220,033000,2279650,3051850,2279650,2851010,10172
20230227,033000,2793300,2793300,2314280,2331590,8303
20230306,033000,2331590,2421630,1969160,2047650,7539
20230313,033000,2096130,2666330,2073040,2640700,4486
20230320,033000,2638630,2712500,2543980,2573530,1862
20230327,033000,2608620,2735580,2549750,2622470,5676
20230403,033000,2624780,2634010,2472410,2487420,9107
20230410,033000,2473570,2593610,2455100,2541900,9183
20230417,033000,2541670,2619000,2535900,2587840,6813
20230424,033000,2585530,2749430,2556670,2744820,8484
20230501,033000,2786370,2796760,2623620,2634010,8203
20230508,033000,2634010,2692880,2513970,2523890,7874
20230515,033000,2537050,2600540,2490880,2564750,7717
20230522,033000,2564750,2604000,2477030,2489730,9280
20230529,033000,2490880,2545130,2429710,2453940,9369
20230605,033000,2470100,2485110,2211550,2220790,23559
20230612,033000,2223090,2389310,2208090,2360450,9700
